
 num     #instances         #bytes  class name
----------------------------------------------
   1:          3382       69589144  [B
   2:        420445       52578728  [C
   3:        158740       12699200  java.util.zip.ZipEntry
   4:        419336       10064064  java.lang.String
   5:        158740        7619520  scala.reflect.io.FileZipArchive$FileEntry$1
   6:        174877        5596064  scala.reflect.internal.Symbols$TypeHistory
   7:        186285        4470840  scala.collection.mutable.DefaultEntry
   8:        136312        4361984  scala.reflect.internal.Scopes$ScopeEntry
   9:         24751        3411472  [Ljava.lang.Object;
  10:         21887        2976632  scala.reflect.internal.Symbols$ModuleClassSymbol
  11:        121220        2909280  scala.collection.immutable.$colon$colon
  12:         27744        2663424  scala.reflect.internal.Symbols$MethodSymbol
  13:         23246        2603552  scala.reflect.internal.Symbols$ClassSymbol
  14:         22829        2521728  java.lang.Class
  15:         29706        2376480  scala.reflect.internal.Symbols$TermSymbol
  16:         22697        1997336  scala.reflect.internal.Symbols$ModuleSymbol
  17:          8906        1842848  [Lscala.collection.mutable.HashEntry;
  18:         74299        1783176  java.lang.Long
  19:         54944        1758208  scala.reflect.internal.pickling.UnPickler$Scan$LazyTypeRef
  20:         46791        1497312  scala.reflect.internal.Names$TermName_R
  21:         61616        1478784  scala.Tuple2
  22:         44934        1437888  java.util.concurrent.ConcurrentHashMap$Node
  23:          9586        1303944  [I
  24:          2026        1069728  [Lscala.reflect.internal.Scopes$ScopeEntry;
  25:         30272         968704  java.util.HashMap$Node
  26:         11825         946000  scala.reflect.internal.Types$ClassInfoType
  27:          7675         921000  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$9
  28:         25047         801504  scala.reflect.internal.Names$TypeName_R
  29:          8506         748528  java.lang.reflect.Method
  30:         20480         655360  scala.tools.nsc.symtab.SymbolLoaders$ClassfileLoader
  31:         39439         631024  java.lang.Object
  32:         18876         604032  java.util.Hashtable$Entry
  33:         10506         588336  scala.reflect.internal.Types$ClassNoArgsTypeRef
  34:         10158         568848  scala.reflect.internal.Types$ClassArgsTypeRef
  35:         17655         564960  scala.reflect.internal.Types$MethodType
  36:         21485         515640  scala.tools.nsc.util.ClassPath$ClassRep
  37:         31875         510000  scala.Some
  38:         10332         495936  scala.reflect.internal.Scopes$Scope
  39:          4243         475216  org.apache.spark.ui.jobs.UIData$TaskMetricsUIData
  40:          3731         459480  [Ljava.util.HashMap$Node;
  41:          4611         442656  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$14
  42:          4796         422048  scala.reflect.internal.Symbols$AbstractTypeSymbol
  43:          8578         343120  scala.collection.mutable.HashMap
  44:           173         326832  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  45:          4242         305424  org.apache.spark.scheduler.TaskInfo
  46:            69         271488  [Ljava.nio.channels.SelectionKey;
  47:          6749         269960  scala.reflect.io.ZipArchive$DirEntry
